group,name,affiliation,url,aff_url
General Co-Chairs,Joseph Liu,Monash University,,https://www.monash.edu/
General Co-Chairs,Xiaoning (Maggie) Liu,RMIT University,,https://www.rmit.edu.au/
Program Co-Chairs,Amin Sakzad,Monash University,,https://www.monash.edu/
Program Co-Chairs,Zuoxia Yu,University of Wollongong,,https://www.uow.edu.au/
Publicity Co-Chairs,Farzana Zahid,University of Waikato,,https://www.waikato.ac.nz/
Publicity Co-Chairs,Shangqi Lai,University of Melbourne,,https://www.unimelb.edu.au/
Publication Co-Chairs,Shujie Cui,Monash University,,https://www.monash.edu/
Publication Co-Chairs,Mengmeng Ge,Monash University,,https://www.monash.edu/
Web Chair,Wayne Yang,Monash University,,https://www.monash.edu/
