section,type,fee,link,note
,Author Registration,To be announced,,
,Standard Registration,To be announced,,
,PC Member Registration,To be announced,,
,Industry Registration,To be announced,,
,Student Registration,To be announced,,
,Additional Banquet Ticket,To be announced,,
